Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00196170680937007,-0.0309340370914813,0.0868228015469566,0,0,0,0.458411450979246,0.000542871589384656,9.16830524623752E-08,-1.69749191833194E-07,0.00108671668484761,3.00802775983817E-06,0.000657663684621468,0,0,0,0,0,0,package://oscar/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/base_link.STL,,main_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel_link,-0.00784940612576867,4.28642898509662E-05,-9.31058257116688E-06,0,0,0,0.0274335863022573,1.13862377406955E-05,-4.63211245290857E-15,9.35749929848442E-15,6.00789413976309E-06,-1.82633067451514E-08,6.02049780409006E-06,0,0,0,0,0,0,package://oscar/meshes/right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/right_wheel_link.STL,,wheel-1,Origin_right_wheel_link_joint,Axis_right_wheel_link_joint,right_wheel_link_joint,continuous,0.0586,-0.08,-0.035,2.7498,0,3.1416,base_link,1,0,0,,,,,,,,,,,,
left_wheel_link,-0.00784940612576874,4.28642898509315E-05,-9.31058257165607E-06,0,0,0,0.0274335863022572,1.13862377406954E-05,-4.63212897840488E-15,9.3575734558632E-15,6.00789413976302E-06,-1.82633067450595E-08,6.02049780409007E-06,0,0,0,0,0,0,package://oscar/meshes/left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/left_wheel_link.STL,,wheel-2,Origin_left_wheel_link_joint,Axis_left_wheel_link_joint,left_wheel_link_joint,continuous,-0.0586,-0.08,-0.035,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
link_pair_1,-0.00777707031504635,-0.00253046990606669,0.0559914509294892,0,0,0,0.00369780273035826,6.11514536437227E-08,-1.60468334607999E-24,-3.76611431713986E-24,6.25046675936162E-07,-7.79660337318471E-25,6.70790618203392E-07,0,0,0,0,0,0,package://oscar/meshes/link_pair_1.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/link_pair_1.STL,,link_pair-1,Origin_link_pair_1_joint,,link_pair_1_joint,fixed,0.107,-0.0215,-0.01547,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
Big_triangle_link,0.0195755407568846,-0.00236613837658626,0.0660089523015064,0,0,0,0.074547880950281,5.43833714550981E-05,-1.64485303519002E-06,1.46443358252426E-06,6.94150724784236E-05,-7.55460274979408E-07,2.41737178555845E-05,0,0,0,0,0,0,package://oscar/meshes/Big_triangle_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/Big_triangle_link.STL,,big_triangle-1,Origin_Big_triangle_link_joint,Axis_Big_triangle_link_joint,Big_triangle_link_joint,continuous,0.016496,-0.0025305,0,0.0087266,0,0,link_pair_1,0,0.0087265,0.99996,,,,,,,,,,,,
Link_1,0.00925000000000001,-1.11022302462516E-16,1.38777878078145E-17,0,0,0,0.000418829254091884,1.72374656454096E-09,2.14126850100495E-22,1.83013710527357E-23,2.05758913679062E-08,-1.72606950474182E-25,2.16713940513094E-08,0,0,0,0,0,0,package://oscar/meshes/Link_1.STL,0.858823529411765,0.858823529411765,0.858823529411765,0.1,0,0,0,0,0,0,package://oscar/meshes/Link_1.STL,,link-1,Origin_Link_1_joint,Axis_Link_1_joint,Link_1_joint,continuous,0.051256,-0.011291,0.081264,-0.012341,-0.78536,0.0087263,Big_triangle_link,0,0,1,,,,,,,,,,,,
Non_acut_triangle_1,0.0309192435459112,0.00878668880203192,-0.0148475592469523,0,0,0,0.0721297540054504,5.39632726368139E-05,1.56283388931883E-06,-1.44322942163294E-06,6.91067908994079E-05,5.0215436817508E-08,2.3503289928344E-05,0,0,0,0,0,0,package://oscar/meshes/Non_acut_triangle_1.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/Non_acut_triangle_1.STL,,big_non-actuated_triangle_mirror-1,Origin_Non_acut_triangle_1_joint,Axis_Non_acut_triangle_1_joint,Non_acut_triangle_1_joint,continuous,0.0185,0,0,-0.017452,-0.78528,0.01234,Link_1,0.70703,-0.012341,0.70708,,,,,,,,,,,,
link_4,0.01825,-2.23269701338236E-11,0.00150000000000047,0,0,0,0.000742829254091884,2.93874656454096E-09,-1.39942092111541E-19,2.68517664114025E-22,1.08501881755647E-07,-2.71872069157362E-17,1.1032638443905E-07,0,0,0,0,0,0,package://oscar/meshes/link_4.STL,0.858823529411765,0.858823529411765,0.858823529411765,0.1,0,0,0,0,0,0,package://oscar/meshes/link_4.STL,,link-5,Origin_link_4_joint,Axis_link_4_joint,link_4_joint,continuous,0.05136,0.011736,-0.021057,-3.1329,0,-0.0087266,Non_acut_triangle_1,0,0,1,,,,,,,,,,,,
rectangle_link_1,-0.0451999417729934,-0.00990676293318141,0.011263644853522,0,0,0,0.164023892383727,0.000289386199645965,-3.43537232454045E-06,-1.71295548901095E-06,9.4604969825702E-05,1.74658343347169E-06,0.000341456068141042,0,0,0,0,0,0,package://oscar/meshes/rectangle_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/rectangle_link_1.STL,,rectangle_mirror-1,Origin_rectangle_link_1_joint,Axis_rectangle_link_1_joint,rectangle_link_1_joint,continuous,0.0365,0,0,1.5708,0,3.1416,link_4,0,1,0,,,,,,,,,,,,
link_pair_2,0.0122273760193164,-1.88078719265405E-14,0.00250854907051089,0,0,0,0.00369780273035827,6.11514536437228E-08,8.67251503540343E-19,6.2865289778006E-23,6.25046675936164E-07,-5.00447724709524E-24,6.70790618203394E-07,0,0,0,0,0,0,package://oscar/meshes/link_pair_2.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/link_pair_2.STL,,link_pair-2,Origin_link_pair_2_joint,Axis_link_pair_2_joint,link_pair_2_joint,continuous,0,-0.167,-0.018,-1.5708,0,-1.5708,base_link,0,0,1,,,,,,,,,,,,
Big_triangle_link_2,0.0223421497135244,0.00326069237224125,0.00268541721023781,0,0,0,0.0834635434624062,4.56673953012276E-05,-6.35604825028415E-08,2.01812979626431E-06,2.18500355396937E-05,2.10494845425372E-21,5.43856488817236E-05,0,0,0,0,0,0,package://oscar/meshes/Big_triangle_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/Big_triangle_link_2.STL,,big_triangle_middle-1,Origin_Big_triangle_link_2_joint,Axis_Big_triangle_link_2_joint,Big_triangle_link_2_joint,continuous,0.0365,0,0,-1.5708,0,0,link_pair_2,0,1,0,,,,,,,,,,,,
Link_2,0.00925000000000001,6.93889390390723E-18,0,0,0,0,0.000418829254091885,1.72374656454097E-09,-1.07232666310546E-23,3.262193540756E-23,2.05758913679062E-08,5.20124388575456E-25,2.16713940513094E-08,0,0,0,0,0,0,package://oscar/meshes/Link_2.STL,0.858823529411765,0.858823529411765,0.858823529411765,0.1,0,0,0,0,0,0,package://oscar/meshes/Link_2.STL,,link-2,Origin_Link_2_joint,Axis_Link_2_joint,Link_2_joint,continuous,0.051256,-0.022663,0.012,-1.5708,0,-0.7854,Big_triangle_link_2,0,0,1,,,,,,,,,,,,
Non_acut_triangle_2,-0.0328199233156058,-0.00838171459412362,0.0100577286903399,0,0,0,0.0478134415054504,1.16931866407475E-05,-3.1676773406174E-06,-1.41779823992198E-06,1.22757737145985E-05,3.6055996039486E-07,1.56922706277985E-05,0,0,0,0,0,0,package://oscar/meshes/Non_acut_triangle_2.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/Non_acut_triangle_2.STL,,small_triangle-1,Origin_Non_acut_triangle_2_joint,Axis_Non_acut_triangle_2_joint,Non_acut_triangle_2_joint,continuous,0.0185,0,0,1.5708,-0.7854,3.1416,Link_2,0.70711,0.70711,0,,,,,,,,,,,,
Link_5,0.01825,0,0.0015,0,0,0,0.000742829254091884,2.93874656454096E-09,8.6646643288121E-25,-1.26290446256387E-24,1.08501881755647E-07,7.10258518665798E-27,1.10326384439051E-07,0,0,0,0,0,0,package://oscar/meshes/Link_5.STL,0.858823529411765,0.858823529411765,0.858823529411765,0.1,0,0,0,0,0,0,package://oscar/meshes/Link_5.STL,,link-6,Origin_Link_5_joint,Axis_Link_5_joint,Link_5_joint,continuous,-0.051256,0.0061628,0.012,1.5708,0,3.1416,Non_acut_triangle_2,0,0,1,,,,,,,,,,,,
Link_2_1,-0.00924999999999998,0,0.01425,0,0,0,0.000418829254091883,1.72374656454095E-09,-3.44375965656593E-24,-1.64402146744914E-23,2.05758913679062E-08,-9.86326119353998E-26,2.16713940513093E-08,0,0,0,0,0,0,package://oscar/meshes/Link_2_1.STL,0.858823529411765,0.858823529411765,0.858823529411765,0.1,0,0,0,0,0,0,package://oscar/meshes/Link_2_1.STL,,link-3,Origin_Link_2_1_joint,Axis_Link_2_1_joint,Link_2_1_joint,continuous,0.041179,0.032739,0.012,-1.5708,0,-2.3562,Big_triangle_link_2,0,0,1,,,,,,,,,,,,
